bank_name,asset_category,enforcement_action,cmp,2022_totalassets,2020_totalnie,2021_totalnie,2022_totalnie,2020_personnelcosts,2021_personnelcosts,2022_personnelcosts,2020_fte,2021_fte,2022_fte,2020_othernie,2021_othernie,2022_othernie,2020_consult,2021_consult,2022_consult,2020_legal,2021_legal,2022_legal
Atlantic Community Bankers Bank,Community Bank,FALSE,NA,"785,072","30,843","23,646","21,963","16,825","9,942","10,343",114,65,69,"11,645","12,801","10,664",0,0,0,505,0,0
Auburn Banking Company,Community Bank,FALSE,NA,"114,728","2,400","2,630","2,673","1,261","1,332","1,386",23,23,22,942,"1,066","1,097",0,0,0,0,0,0
"Auburn Savings Bank, FSB",Community Bank,FALSE,NA,"101,567","3,226","3,231","3,319","1,663","1,833","1,778",19,21,17,"1,290","1,118","1,245",0,0,0,0,0,0
Auburn State Bank,Community Bank,FALSE,NA,"249,262","3,174","3,255","3,451","2,016","2,063","2,124",28,27,27,739,787,940,0,0,0,0,0,0
AuburnBank,Community Bank,FALSE,NA,"1,023,366","20,078","19,704","19,777","11,316","11,710","10,738",154,152,150,"5,536","5,803","6,299",0,0,0,0,0,0
Audubon State Bank,Community Bank,FALSE,NA,"144,046","2,399","2,518","2,370","1,356","1,392","1,350",15,15,14,657,746,636,0,0,0,0,0,0
Austin Capital Bank SSB,Community Bank,FALSE,NA,"328,593","27,506","43,580","43,230","17,893","25,037","18,386",181,184,90,"8,242","16,779","22,451",0,0,0,0,0,0
Austin County State Bank,Community Bank,FALSE,NA,"335,066","6,607","7,607","8,339","4,140","4,536","4,812",45,45,49,"1,841","2,306","2,737",0,15,39,16,26,11
"Auto Club Trust, FSB",Community Bank,FALSE,NA,"528,198","24,722","27,533","27,457","11,088","11,852","10,789",99,92,86,"10,346","14,819","15,877","1,676","2,358","2,542",,,
Availa Bank,Community Bank,FALSE,NA,"1,545,907","27,004","29,639","31,672","16,883","18,543","19,932",187,188,186,"6,681","7,359","8,030",482,0,0,0,0,0
AVB Bank,Community Bank,FALSE,NA,"478,858","12,845","13,297","13,837","8,001","7,957","8,040",84,81,81,"3,015","3,464","3,835",0,0,0,0,0,0
"Axiom Bank, National Association",Community Bank,FALSE,NA,"661,535","28,099","37,342","31,874","14,811","13,435","20,780",155,128,151,"9,502","20,603","7,957",0,0,714,0,0,0
B2 Bank National Association,Community Bank,FALSE,NA,"41,040","1,077","1,207","2,070",558,600,"1,320",12,11,18,394,468,625,37,56,153,0,30,34
BAC Community Bank,Community Bank,FALSE,NA,"828,225","17,585","19,056","20,134","9,832","10,672","11,271",114,107,109,"4,410","4,673","5,547",0,0,0,0,0,0
Badger Bank,Community Bank,FALSE,NA,"185,709","4,499","4,497","4,785","2,678","2,620","2,869",37,36,39,"1,262","1,315","1,399",0,0,0,0,0,0
Baker Boyer National Bank,Community Bank,FALSE,NA,"763,820","27,452","28,303","29,806","18,646","19,001","19,752",188,187,183,"6,953","7,073","7,823",524,622,832,391,123,59
Balboa Thrift and Loan Association,Community Bank,FALSE,NA,"363,166","11,210","11,797","13,920","5,842","6,362","7,053",86,89,89,"4,699","4,704","6,112",358,434,607,184,198,287
Ballston Spa National Bank,Community Bank,FALSE,NA,"753,682","17,967","18,687","18,410","10,992","11,363","10,706",118,115,122,"5,269","5,612","5,903",0,0,0,0,0,0
"BancCentral, National Association",Community Bank,FALSE,NA,"377,319","15,579","16,179","14,901","6,349","6,419","5,835",74,68,66,"6,811","7,436","7,033",,,,,,
Bandera Bank,Community Bank,FALSE,NA,"101,175","2,041","1,755","2,211","1,069",840,"1,197",15,16,16,730,719,836,0,0,0,0,0,0
BANK,Community Bank,FALSE,NA,"115,303","4,187","4,093","4,416","2,409","2,249","2,601",27,27,31,965,864,968,0,0,0,0,0,0
Bank & Trust Company,Community Bank,FALSE,NA,"446,299","9,018","9,317","9,776","5,999","6,086","6,455",83,84,83,"2,031","2,231","2,252",,,,5,3,4
Bank 1st,Community Bank,FALSE,NA,"165,376","2,873","2,995","3,202","1,803","1,882","2,040",21,21,22,634,683,759,0,0,0,0,0,0
Bank 21,Community Bank,FALSE,NA,"162,064","4,332","4,363","4,571","2,800","2,705","2,854",37,36,35,"1,058","1,200","1,307",0,0,0,0,0,0
BANK 34,Community Bank,FALSE,NA,"575,917","12,493","15,374","13,276","6,658","9,545","7,274",59,66,64,"4,406","4,406","4,710",0,0,0,0,0,0
Bank 360,Community Bank,FALSE,NA,"54,148","1,364","1,480","1,729",856,940,"1,022",10,11,13,417,451,554,0,0,0,0,0,0
Bank Five Nine,Community Bank,FALSE,NA,"1,675,982","53,520","51,062","51,908","37,661","35,209","34,722",322,325,319,"9,788","9,399","11,051",316,265,613,550,559,390
Bank Forward,Community Bank,FALSE,NA,"896,699","30,303","31,087","33,563","21,773","21,727","23,530",237,236,228,"5,034","5,701","6,163",173,105,188,96,21,65
Bank Iowa,Community Bank,FALSE,NA,"1,918,861","40,305","40,913","42,001","26,237","27,417","28,050",264,257,263,"10,556","9,827","10,154",,,,,,
Bank Irvine,Community Bank,FALSE,NA,"39,216",NA,NA,"1,899",NA,NA,"1,090",NA,NA,20,NA,NA,693,,,346,,,0
Bank Michigan,Community Bank,FALSE,NA,"113,473","5,100","5,395","5,846","2,699","2,852","3,184",37,34,42,"1,656","1,851","1,938",0,0,0,0,0,0
Bank Midwest,Community Bank,FALSE,NA,"1,333,552","32,321","34,265","34,549","19,902","20,669","21,005",183,189,190,"8,927","10,118","10,082",0,0,0,115,92,55
Bank Northwest,Community Bank,FALSE,NA,"198,593","3,567","3,797","4,202","2,194","2,337","2,274",38,38,38,672,666,"1,079",0,0,0,0,0,0
Bank of 1889,Community Bank,FALSE,NA,"296,085","9,373","9,811","10,341","5,619","5,696","5,969",88,92,85,"2,427","2,751","2,987",102,161,96,18,1,38
Bank of Abbeville & Trust Company,Community Bank,FALSE,NA,"197,621","5,014","5,119","5,055","3,026","2,940","3,018",36,37,36,"1,326","1,501","1,387",0,106,0,104,0,0
Bank of Alapaha,Community Bank,FALSE,NA,"224,718","4,634","4,888","5,531","2,545","2,539","3,077",43,44,47,"1,359","1,531","1,687",26,31,30,114,159,172
Bank of Alma,Community Bank,FALSE,NA,"298,990","1,369","1,396","1,453",853,919,991,18,18,17,410,398,329,0,0,0,4,5,14
Bank of Anguilla,Community Bank,FALSE,NA,"184,180","4,708","5,455","5,176","2,489","2,912","2,682",31,32,32,"1,449","1,750","1,667",131,233,190,0,119,0
Bank of Bartlett,Community Bank,FALSE,NA,"525,943","17,232","19,880","18,195","12,106","14,359","11,655",102,103,109,"4,008","4,323","5,300",0,0,0,0,204,0
Bank of Bearden,Community Bank,FALSE,NA,"82,076","1,106","1,113","1,287",580,594,634,7,8,8,442,460,578,0,0,0,0,0,0
Bank of Belle Glade,Community Bank,FALSE,NA,"142,070","2,136","2,157","2,358","1,188","1,165","1,335",15,13,14,772,792,846,0,0,0,0,0,0
Bank of Belleville,Community Bank,FALSE,NA,"428,906","5,837","7,437","8,832","4,154","5,478","6,395",49,61,65,"1,364","1,521","1,818",0,0,0,0,0,0
Bank of Billings,Community Bank,FALSE,NA,"86,436","2,408","2,592","2,940","1,260","1,382","1,583",21,21,24,857,897,"1,024",,,,,,
Bank of Bird-in-Hand,Community Bank,FALSE,NA,"1,132,459","8,671","11,387","16,309","5,010","6,357","8,969",81,93,131,"2,906","3,718","4,997",432,567,650,0,0,0
Bank of Blue Valley,Community Bank,FALSE,NA,"1,425,798","29,663","30,240","27,279","8,605","7,529","6,463",84,81,67,"15,454","17,962","16,969",0,,,0,,
Bank of Bluffs,Community Bank,FALSE,NA,"62,452","1,757","1,586","1,578",998,921,857,14,12,11,500,430,441,0,0,0,0,0,0
Bank of Botetourt,Community Bank,FALSE,NA,"715,514","13,843","15,484","17,329","6,423","7,276","8,032",120,122,125,"5,998","6,699","7,585",0,0,0,0,0,0
Bank of Bourbonnais,Community Bank,FALSE,NA,"93,218","1,707","1,729","1,692",784,783,842,10,9,9,771,777,710,95,88,0,5,10,0
Bank of Bozeman,Community Bank,FALSE,NA,"109,371","3,310","3,523","3,622","1,948","2,040","2,126",21,24,23,"1,134","1,249","1,294",,,,4,10,11
"Bank of Brenham, National Association",Community Bank,FALSE,NA,"644,903","5,139","5,408","7,754","2,170","2,403","3,147",29,32,44,"2,573","2,568","3,279",16,83,92,83,95,40
Bank of Brewton,Community Bank,FALSE,NA,"50,525","1,730","1,711","1,749","1,045","1,009","1,034",19,19,18,472,490,504,,,,28,4,22
"Bank of Bridger, National Association",Community Bank,FALSE,NA,"767,763","13,290","13,814","14,162","8,910","9,355","9,732",129,130,127,"2,800","2,904","2,873",0,0,0,147,0,0
Bank of Brookfield-Purdin National Association,Community Bank,FALSE,NA,"115,167","1,676","1,861","1,851",972,"1,052","1,052",19,20,18,490,578,547,0,0,0,0,0,0
Bank of Brookhaven,Community Bank,FALSE,NA,"216,751","4,611","5,146","5,464","2,630","2,786","2,981",27,28,30,"1,484","1,812","1,873",0,0,0,26,23,51
Bank of Buffalo,Community Bank,FALSE,NA,"90,141","1,256","1,428","1,599",709,762,861,15,15,15,375,528,580,0,0,0,0,0,0
Bank of Burlington,Community Bank,FALSE,NA,"87,523",NA,NA,"1,745",NA,NA,"1,102",NA,NA,19,NA,NA,281,,,71,,,24
Bank of Cadiz and Trust Company,Community Bank,FALSE,NA,"135,124","3,138","3,026","3,254","1,438","1,402","1,439",32,34,31,"1,311","1,303","1,427",0,0,0,0,0,0
Bank of Calhoun County,Community Bank,FALSE,NA,"92,888","1,665","1,656","1,712",686,713,709,14,15,13,711,670,716,0,0,0,18,0,0
Bank of Camilla,Community Bank,FALSE,NA,"170,373","3,193","3,398","3,687","1,834","1,844","1,989",25,24,26,"1,062","1,248","1,394",0,114,220,0,0,0
Bank of Cashton,Community Bank,FALSE,NA,"121,211","2,157","2,571","2,774","1,444","1,555","1,582",14,13,12,625,680,647,68,104,62,4,34,0
Bank of Cattaraugus,Community Bank,FALSE,NA,"30,429",988,991,"1,184",458,449,505,9,8,8,352,373,479,0,0,0,0,0,0
Bank of Cave City,Community Bank,FALSE,NA,"165,424","4,261","4,670","5,123","2,115","2,220","2,280",39,37,38,"1,709","1,975","2,354",0,0,0,26,33,14
Bank of Central Florida,Community Bank,FALSE,NA,"961,073","12,109","14,623","18,016","9,067","10,521","11,941",70,81,93,"2,088","2,991","4,852",0,0,0,0,0,0
Bank of Charles Town,Community Bank,FALSE,NA,"754,110","17,150","17,977","19,797","9,600","9,981","11,249",108,115,120,"5,082","5,565","6,125",0,0,0,0,0,0
Bank of Cherokee County,Community Bank,FALSE,NA,"295,070","5,273","6,211","8,344","3,157","3,381","5,300",49,49,67,"1,551","2,199","2,227",0,104,0,9,14,12
Bank of Chestnut,Community Bank,FALSE,NA,"20,232",569,592,667,317,339,403,5,6,6,198,205,215,0,0,0,0,0,0
Bank of Clarke,Community Bank,FALSE,NA,"1,616,263","29,288","37,529","42,686","18,009","21,778","25,649",195,221,241,"8,701","12,989","13,848",0,0,"1,178",0,"2,538",0
Bank of Clarks,Community Bank,FALSE,NA,"43,017","1,259","1,253","1,196",856,804,768,9,9,9,249,270,258,9,9,10,6,5,2
Bank of Clarkson,Community Bank,FALSE,NA,"146,123","3,440","3,422","3,464","1,695","1,725","1,705",24,26,23,"1,513","1,518","1,528",,,,,,
Bank of Cleveland,Community Bank,FALSE,NA,"367,330","8,544","8,967","8,704","5,678","6,057","5,693",62,62,61,"1,690","1,734","1,836",0,0,0,0,0,0
Bank of Columbia,Community Bank,FALSE,NA,"177,083","4,276","4,455","4,607","2,529","2,573","2,579",38,38,36,"1,371","1,464","1,585",0,0,128,0,0,0
Bank of Commerce,Community Bank,FALSE,NA,"771,576","11,085","12,604","15,323","6,709","7,545","8,601",70,77,81,"3,286","3,861","5,323",55,59,15,150,239,632
Bank of Commerce,Community Bank,FALSE,NA,"195,641","6,150","6,172","6,500","4,099","3,975","4,084",56,53,52,"1,382","1,533","1,641",1,1,0,21,60,23
Bank of Commerce,Community Bank,FALSE,NA,"189,914","3,609","3,956","4,299","2,114","2,279","2,454",29,28,30,"1,108","1,285","1,407",0,0,0,2,8,5
Bank of Commerce,Community Bank,FALSE,NA,"406,872","7,840","8,142","8,403","4,625","4,603","4,646",79,80,79,"2,034","2,250","2,513",0,0,0,0,0,0
Bank of Commerce,Community Bank,FALSE,NA,"336,887","8,919","8,978","9,558","5,179","5,160","5,464",60,64,65,"2,535","2,597","2,722",345,310,249,180,126,0
Bank of Commerce & Trust Company,Community Bank,FALSE,NA,"391,962","6,542","6,272","6,697","4,174","3,634","3,728",71,70,67,"1,779","1,939","2,282",0,0,0,0,0,0
Bank of Coushatta,Community Bank,FALSE,NA,"300,671","5,112","5,439","6,025","2,620","2,734","2,959",35,37,39,"1,835","1,982","2,187",159,180,173,0,0,0
Bank of Crocker,Community Bank,FALSE,NA,"148,034","3,385","3,315","3,451","1,965","1,946","2,060",34,35,35,"1,021",987,"1,007",0,0,0,65,56,56
Bank of Crockett,Community Bank,FALSE,NA,"247,960","3,120","3,226","3,430","1,523","1,544","1,707",32,33,33,"1,110","1,185","1,243",0,0,0,0,1,1
Bank of Dade,Community Bank,FALSE,NA,"147,192","2,974","3,075","3,161","1,985","1,949","1,946",34,30,32,756,865,912,0,0,0,0,0,0
Bank of Dawson,Community Bank,FALSE,NA,"140,160","3,499","3,576","3,872","2,085","2,077","2,270",26,26,23,"1,143","1,254","1,311",0,0,0,0,0,0
Bank of Delight,Community Bank,FALSE,NA,"164,938","2,671","2,819","3,172","1,714","1,818","2,170",25,25,26,750,786,818,0,0,0,0,0,0
Bank of Delmarva,Community Bank,FALSE,NA,"932,149","20,838","22,627","23,476","11,358","12,343","12,256",152,159,157,"5,709","6,174","6,672",285,291,260,72,-10,65
"Bank of DeSoto, National Association",Community Bank,FALSE,NA,"236,986","6,499","7,264","7,804","4,262","4,808","5,171",40,40,40,"1,847","2,068","2,236",0,0,0,0,0,319
Bank of Dickson,Community Bank,FALSE,NA,"296,885","5,689","5,916","6,270","3,063","3,145","3,353",52,53,49,"1,828","1,962","2,078",0,0,0,0,0,0
Bank of Dixon County,Community Bank,FALSE,NA,"121,321","2,225","2,413","2,437","1,390","1,465","1,442",19,18,18,483,560,607,0,0,0,0,0,0
Bank of Dudley,Community Bank,FALSE,NA,"346,344","7,672","7,987","9,089","4,439","4,534","5,269",64,67,78,"2,176","2,468","2,884",0,0,0,0,0,0
Bank of Eastern Oregon,Community Bank,FALSE,NA,"890,181","21,329","22,205","24,046","12,455","13,357","15,059",152,153,147,"5,333","6,268","6,231",0,0,0,0,0,0
Bank of Easton,Community Bank,FALSE,NA,"186,150","2,432","2,539","2,642","1,328","1,371","1,426",17,17,17,861,921,956,0,0,0,0,0,0
Bank of Edmonson County,Community Bank,FALSE,NA,"271,364","5,633","5,395","5,633","3,044","2,964","3,131",49,48,49,"1,971","1,857","1,868",0,0,0,0,0,0
Bank of Elgin,Community Bank,FALSE,NA,"76,365","1,345","1,589","1,297",942,"1,170",862,8,8,8,320,334,343,0,0,0,0,0,0
"Bank of America, National Association",Major Bank,TRUE,"$125,000,000 ","2,418,508,000","39,051,000","40,141,000","43,388,000","17,486,000","18,474,000","19,677,000","140,198","133,812","138,275","16,206,000","16,216,000","18,419,000",0,0,0,0,0,0
Bank of Erath,Community Bank,FALSE,NA,"117,936","3,767","3,873","3,747","2,143","2,212","2,142",34,34,34,"1,125","1,200","1,156",,,,,,
Bank of Estes Park,Community Bank,FALSE,NA,"155,646","3,518","3,585","3,711","2,242","2,222","2,282",27,25,25,872,958,"1,004",55,58,67,,,
Bank of Eufaula,Community Bank,FALSE,NA,"114,723","3,261","3,057","3,551","2,347","2,071","2,573",19,20,20,646,727,714,0,0,0,0,0,0
Bank of Evergreen,Community Bank,FALSE,NA,"76,239","1,828","1,893","1,837","1,192","1,176","1,147",15,13,13,503,554,549,0,0,0,0,0,0
Bank of Farmington,Community Bank,FALSE,NA,"217,551","4,629","4,805","5,198","2,921","2,947","3,129",40,40,40,"1,235","1,313","1,472",0,0,0,0,0,0
Bank of Forest,Community Bank,FALSE,NA,"235,011","6,374","6,650","6,982","3,495","3,704","3,851",53,54,56,"2,224","2,304","2,375",0,0,0,188,147,146
Bank of Frankewing,Community Bank,FALSE,NA,"490,857","9,122","10,575","12,196","5,375","6,043","6,831",79,86,96,"2,883","3,452","3,921",0,0,0,0,0,0
Bank of Franklin,Community Bank,FALSE,NA,"207,917","5,574","5,989","6,353","3,311","3,374","3,901",48,48,48,"1,426","1,845","1,667",0,216,94,0,80,0
Bank of Franklin County,Community Bank,FALSE,NA,"370,781","8,089","8,703","9,239","4,537","4,819","5,262",67,61,68,"2,610","2,890","2,747",,,,,,
Bank of Gibson City,Community Bank,FALSE,NA,"135,977","1,818","1,871","1,957","1,057","1,069","1,119",15,17,15,604,629,645,0,0,0,0,0,0
Bank of Gleason,Community Bank,FALSE,NA,"124,275","2,712","2,621","2,799","1,590","1,460","1,590",23,22,23,927,956,984,0,0,0,0,0,0
Bank of Grand Lake,Community Bank,FALSE,NA,"233,761","4,705","4,826","4,764","2,695","2,695","2,658",40,38,34,"1,572","1,553","1,639",0,89,117,0,13,27
Bank of Grandin,Community Bank,FALSE,NA,"198,121","4,024","4,088","4,345","2,289","2,430","2,468",36,37,37,"1,183","1,106","1,350",0,0,0,0,0,0
Bank of Greeley,Community Bank,FALSE,NA,"44,406",844,768,869,660,596,686,6,6,8,153,148,157,0,0,0,0,0,0
Bank of Greeleyville,Community Bank,FALSE,NA,"121,638","3,484","3,858","3,974","1,657","1,797","1,854",22,22,23,"1,466","1,665","1,789",0,0,0,0,0,0
Bank of Gueydan,Community Bank,FALSE,NA,"80,293","1,445","1,268","1,374",741,620,672,11,10,10,556,507,550,0,0,0,12,11,12
Bank of Halls,Community Bank,FALSE,NA,"129,292","1,794","1,885","2,022",917,946,991,16,17,17,604,671,781,0,0,0,1,0,0
Bank of Hancock County,Community Bank,FALSE,NA,"81,497","2,431","2,422","2,439","1,343","1,303","1,313",20,19,19,907,933,945,0,0,0,0,0,0
Bank of Hartington,Community Bank,FALSE,NA,"134,788","3,127","3,294","3,316","2,049","2,142","2,076",24,24,23,782,876,950,0,0,0,0,0,0
Bank of Hays,Community Bank,FALSE,NA,"358,044","5,221","5,487","5,631","3,072","3,338","3,251",31,31,31,"1,657","1,646","1,876",,0,0,,0,0
Bank of Hazelton,Community Bank,FALSE,NA,"58,008","1,030","1,061","1,195",624,644,669,8,8,8,230,264,363,0,0,0,0,0,0
Bank of Hazlehurst,Community Bank,FALSE,NA,"139,349","3,488","3,084","5,902","1,663","1,508","1,807",29,28,29,"1,490","1,300","3,804",0,0,0,208,0,0
"Bank of Hillsboro, National Association",Community Bank,FALSE,NA,"537,448","9,187","9,652","10,400","5,441","5,693","5,912",100,98,103,"2,310","2,539","2,839",182,207,0,0,0,0
Bank of Hindman,Community Bank,FALSE,NA,"262,901","3,882","3,768","3,941","1,986","2,017","2,140",29,28,28,"1,312","1,187","1,218",0,0,0,0,0,0
Bank of Holland,Community Bank,FALSE,NA,"205,591","3,973","4,597","5,064","1,804","2,205","2,469",31,32,34,"1,611","1,840","1,995",37,51,105,29,32,44
Bank of Houston,Community Bank,FALSE,NA,"676,516","6,993","9,605","12,727","4,548","6,504","8,672",37,44,53,"1,443","2,126","2,841",0,0,0,0,0,0
Bank of Hydro,Community Bank,FALSE,NA,"159,205","3,270","3,693","3,711","2,045","2,293","2,227",22,25,25,981,"1,134","1,172",0,0,0,0,0,0
Bank of Iberia,Community Bank,FALSE,NA,"64,713","2,443","2,444","2,495","1,267","1,277","1,284",18,17,14,952,922,958,44,52,49,17,9,8
Bank of Idaho,Community Bank,FALSE,NA,"980,232","22,789","26,472","31,992","15,044","17,541","17,796",153,154,211,"5,379","6,722","10,628",0,0,841,0,0,0
Bank of Jackson Hole,Community Bank,FALSE,NA,"39,252","23,937","30,002",402,"14,219","18,638",342,85,166,7,"7,340","8,221",16,0,0,0,592,597,0
Bank of Jamestown,Community Bank,FALSE,NA,"235,389","4,509","4,456","4,458","2,574","2,684","2,637",34,34,33,"1,335","1,349","1,386",0,0,0,22,14,19
Bank of Kampsville,Community Bank,FALSE,NA,"123,409","2,293","2,351","2,375","1,364","1,346","1,336",25,24,24,749,826,854,0,0,0,0,0,0
Bank of Kilmichael,Community Bank,FALSE,NA,"270,007","5,568","6,289","6,595","3,417","3,870","3,872",40,45,46,"1,621","1,799","2,055",187,148,200,0,0,0
Bank of Kirksville,Community Bank,FALSE,NA,"468,428","6,596","6,889","6,684","3,790","3,847","3,728",71,69,55,"1,621","1,750","1,676",0,0,0,0,13,0
Bank of Labor,Community Bank,FALSE,NA,"891,514","24,257","24,988","26,521","12,123","12,673","13,330",120,114,118,"9,088","9,334","10,402",,,,,,
Bank of Lake Mills,Community Bank,FALSE,NA,"336,853","10,113","8,324","9,351","4,004","4,051","3,967",42,43,40,"5,708","3,885","5,011",,,,,,
Bank of Lake Village,Community Bank,FALSE,NA,"90,719","2,097","2,263","2,346","1,061","1,067","1,190",15,15,15,867,"1,006",927,0,0,144,0,0,0
Bank of Lewellen,Community Bank,FALSE,NA,"25,759",610,589,515,329,330,235,3,4,3,251,220,249,0,0,0,0,0,0
"Bank of Lexington, Inc.",Community Bank,FALSE,NA,"309,468","7,019","6,714","6,785","4,015","3,652","3,793",48,43,44,"2,000","2,065","2,000",0,0,0,0,0,0
Bank of Lincoln County,Community Bank,FALSE,NA,"183,267","4,665","4,777","5,140","2,772","2,802","3,057",42,39,43,"1,222","1,300","1,382",0,0,0,9,30,17
Bank of Lindsay,Community Bank,FALSE,NA,"89,746","2,872","3,296","3,380","2,002","2,443","2,364",15,17,16,662,623,759,0,0,0,0,0,0
